What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
Crime free and just easy to live.,"Help all furries to get off the street, alls tray animals",Quiet,Trafficless,,,,pakenham,,visitor,0-18,female
ASAP Mac,Listen to my mixtape on Sound Clod,children,,,,,cranbourne ,3977,balla balla,0-18,female
Berwick,Racism,Awesome,Multicultural,Modern,,,berwick,3806,edrington,0-18,female
"A place with non discriminating plicies, where we are all accepting of each other.",Drug decriminisation.,Respectible,Ethical,Trustworthy,,,narre warren,3805,springfield,0-18,male
I hope you are a good state.,The crime,Proud,Grateful,,,,unknown,,unknown,0-18,Prefer not to say
America,More room,,,,,,warrnambool,,visitor,0-18,Prefer not to say
A more tolerant place to live in for everyone LGBTI and other,More funding for alternative education places,Tolerant,Great,Diverse,,,narre warren,3805,springfield,0-18,male
A place for people that welcomes them and supports them.,It would be more support for young teenagers,Friendly,peaceful,Supportive,,,narre warren,3805,springfield,0-18,female
Clean and friendly,The ignorence of people,Dodgy,,,,,narre warren,3805,springfield,0-18,female
"No more large building, as we have lost a beautiful park","More patrol at night, as its not safe to have a walk.",roads,Less-rates,,,,narre warren,3805,springfield,59-68,male
We happy with the parks near us to continue with this as it gives family a palce to go.,I would like to se emore ptrol in the area also.,low-rates,safe,,,,narre warren,3805,springfield,59-68,female
We happy with the parks near us to continue with this as it gives family a palce to go.,I would like to se emore ptrol in the area also.,low-rates,safe,,,,narre warren,3805,springfield,59-68,male
A safe place for kids (maybe my kids),More support for kids who have mental health problems,Supportive,Involved,growing,,,narre warren,3805,springfield,0-18,female
I want to see it as a happy place.,I would give more work,Busy,Loud,Nice,,,cranbourne east,3977,mayfield,0-18,female
In the rockets,Everything,safe,,,,,unknown,,unknown,39-48,other  
Run by commissioners,CEO,Consultative,Efficent,Transparent,,,berwick,3806,edrington,59-68,Prefer not to say
 - ,The CEO,,,,,,berwick,3806,edrington,49-58,female
"Neighbourly, friendly",Council should stop wasting money specially on big development,clean,Modern,Friendly,,,narre warren,3805,springfield,39-48,female
Safe palce and good schools,Bike friendly,Healthy,sustainable,Education,,,doveton ,3177,river gum,0-18,female
2 councils,CEO,Open,Honest,Low-Rates,,,hallam,3803,river gum,68+,female
"Safe for families, lots of resources",More playgrounds,Safe,Healthy,Children,,,narre warren,3805,springfield,39-48,female
I would like Casey to stay environmentally friendly.,Make all suburbs equally good,sustainable,Clean,safe,,,doveton ,3177,river gum,0-18,female
"Lots of computers, the shopping center has TVs on the walls of the shop.",People care about the environment and come to thelibrary more,Beautiful,Fun,Education,,,dandenong north,,visitor,0-18,female
Family friendly,"Greater activities for families, ie free swimming lessons/bike parts",Friendly,Peaceful,Clean,,,endeavour hills,3802,four oaks,29-38,female
More activities for dads with children.  Ihave been attending Dad's matter for 12 years.,Roads and pathways on nature strips,Vibrant,Open-space,parks,,,lynbrook,3975,river gum,39-48,male
Animal friendly,The library - more better and efficient,Caring,Freedom,Kind,,,visitor,,visitor,0-18,female
A safe happy tight knit community,I wouldn't really change much I don't think,Safe,Helpful,Happy,,,narre warren,3805,springfield,19-28,female
A safe and fun place for families,Safety,Multicultural,Safe,Family-oriented,,,narre warren,3805,springfield,29-38,female
A place where we can work and play,Better transport (public),Innovative,Multicultural,Diverse,,,narre warren,3805,springfield,29-38,female
I would like Casey to be a friendly place.  Everyone who cares for others.,"If I had the power to change one thing it Casey, it would be that everyone will have a friendly attitude.",Friendly,Helpful,Caring,,,hampton park,3976,river gum,0-18,female
A double story bulding with a city,A lot buldings,Rich,Cool,Amazing,,,,,visitor,0-18,Prefer not to say
One of the best cities in Melbourne, - ,Efficient,Improving,comfortable,,,lyndhurst,3975,mayfield,29-38,female
Hopefully,Hope,Hope,,,,,unknown,,unknown,0-18,female
Ice cream shop named Fazila, - ,,,,,,unknown,,unknown,Unknown,Unknown
Shoppings, - ,Colourful,Music,,,,lynbrook,3975,river gum,0-18,female
A double story building as the library,Less buildings,Amazing,Cool,Astonishing,,,glen waverley ,,visitor,0-18,female
Less ferral, -,,,,,,unknown,,unknown,39-48,female
More fun,Ceaper things,Relaxing,Okay,,,,narre warren,3805,springfield,0-18,female
A two story building with lots of computers and books and a play area for kids.,Less kids books,Amazing,Cool,Astonishing,,,glen waverley ,,visitor,0-18,female
Cool,More stories,,,,,,hampton park,3976,river gum,68+,other
Still have the workers or make it more different.,More people to care about Casey,caring,home,Amazing,,,hampton park,3976,river gum,0-18,female
260 bus,More workers,Awesome,Cool,Fab,,,cranbourne ,3977,balla balla,0-18,Prefer not to say
A place with more nature,Add more vibratly coloured buildings,Colourful,child-friendly,Lively,,,hampton park,3976,river gum,0-18,male
"Modern, sustainable, greener, water saving, encourage people to grow vegies in their backyard.","As Casey got most land and maximum development going on, all new properties to have mandatory solar panels",Sustainable,clean,Active,,,clyde,3978,balla balla,29-38,male
"Multicultural suburb, totally self sufficient in terms of jobs, infrastructure",Destruction of farmland for housing,Green,Family-oriented,jobs,,,berwick,3806,edrington,29-38,male
Family oriented,Train extention,public-transport,education,hospital,,,cranbourne east,3977,mayfield,39-48,female
Mainly safe on the roads and with other people.,Smoother spped bump at Narre Warren Cranbourne Road,Active,Healthy,Welcoming,,,cranbourne east,3977,mayfield,0-18,male
Soccer stadium where all the best soccer teams can come.,Be best gamer in the world and make everybody a gamer.,Excellent,Amazing,Powerful,,,cranbourne east,3977,mayfield,0-18,male
Add a games centre,More stars members,Sun,Engergetic,,,,cranbourne ,3977,balla balla,0-18,male
A really non-poluted and a really safe place to be.,That all the free space was still there,clean,Safe,Joyful,,,cranbourne ,3977,balla balla,0-18,female
 - ,More land and less building,Heritage,Modern,Nice,,,cranbourne ,3977,balla balla,0-18,female
"Safe family, vibrant community",More affordable housing,Large,Rural,,,,unknown,,unknown,29-38,male
"A place with lots of things, eg sops, bakeries, libraries etc",Bowland,Quiet,Lush,Happy,,,cranbourne north,,Springfield,0-18,male
A really big library that people would enjoy and love.,Bigger,,,,,,cranbourne ,3977,balla balla,0-18,female
The best Council in Victoira,Safety and clean,safe,sustainable,education,,,berwick,3806,edrington,39-48,male
A friendly kind place,"The litter, rubbish, graffti",Nice,Amazing,Great,,,berwick,3806,edrington,19-28,female
Safe place to walk and live in your own home.  No more small apartments.,More Police control overyouths and discipline from parents,Safe,Shelter,friendly,,,cranbourne ,3977,balla balla,68+,female
Airport (domestic) at Tooradin,More Cranbourne library closer to train station and include a café.,events,exhibition-centre,,,,cranbourne north,,Springfield,39-48,male
"Safe, inclusive, accessible, artistic, holistic.",Access to venues for youth to express art and dance and music and enterprise,Home,Love,acceptance,,,cranbourne north,,Springfield,39-48,female
 - ,Stop building houses before the infrastructure is in place.  Roads are so bad! Shame Shame,,,,,,unknown,,unknown,Unknown,Prefer not to say
Full of colourful houses and parks.,I'd like to get rid of all the dull houses and get colourful ones.,Colourful,Fun,Beautiful,,,tooradin,3980,balla balla ,0-18,female
A place where people could go find anything they want easily.,I would add more of the searching laptops because it would be easy to find things.,Popular,Great,Clubs,,,cranbourne ,3977,balla balla,0-18,female
A green outdoor living location with families as a priority.,The ethnic demographic has affected too many aspects of casey.  Less immigration.,sustainable,Family-oriented,Outdoors,,,cranbourne north,,Springfield,29-38,female
A green outdoor living location with families as a priority.,The ethnic demographic has affected too many aspects of casey.  Less immigration.,Self-sufficient,Family-oriented,Outdoors,,,cranbourne north,,Springfield,29-38,male
A place that you can to lego and free coffee,More video game consoles,Awesome,Amazing,Terrific,,,cranbourne north,,Springfield,0-18,male
Ikea,Everybody has a home,Safe,Fun,Young,,,cranbourne ,3977,balla balla,0-18,female
Bigger,Make it more cleaner,Good,Visonary,Positive,,,cranbourne south ,3977,balla balla,0-18,Unknown
A structural free flowing entertaining city.,"Roads for better flowing traffic, rail underground or above.",Opportunity,Creative,structure,,,narre warren,3805,springfield,29-38,male
Super city.  Jobs and infrastructure.  Community Palces for adults and kids.,Traffic Congestion,community,Transport,Parks,,,narre warren,3805,springfield,39-48,male
"A happy welcoming suburb, No Sharia Law",To improve public transport,,,,,,narre warren south,3804,springfield,68+,male
A suburb where everything is available.,Better roads / traffic conditions,Services,Sustainable,Forward-thinking,,,unknown,,unknown,39-48,male
Fountain Gate shopping centre has all the shops and biggest city in Melbourne. more CCTV and satelite observation (like Singapore,"All the electric cables need to go underground, satelite observation, undergroundtrain transport.",safe,,,,,narre warren,3805,springfield,39-48,male
"Less commute needed.  Better train service, railline down Clyde Road, so road wont fall in 10 years.  City centre for Narre Warren South",Extra two lanes on Monash between dandenong and Beaconsfield.,jobs,Family-oriented,parks,,,narre warren south,3804,springfield,29-38,male
Economically forward family friendly,Quicker turnaround for key projects / infrastructure,Family-oriented,Safe,Infrastructure,,,hampton park,3976,river gum,39-48,male
"Friendly, worlds best",Play groups for people/ immigrants (new),Children,Education,Employment,,,berwick,3806,edrington,39-48,male
A safer community,Stronger Police presnece,Tolerant,Multiturltural,vibrant,,,cranbourne ,3977,balla balla,59-68,female
Safe,Trams be here from the city,Safe,Family-oriented,Parks,,,cranbourne north,,Springfield,39-48,female
Livable,Response times (faster) to phone calls through customer service and transferred to correct department.,Thrifty,Helpful,co-operative,,,berwick,3806,edrington,59-68,Male/Female
A sustainable energy efficient city with alternative transport,To protect heritage from developers.,Sustainable,Aboriginal-culture,,,,narre warren,3805,springfield,68+,Male
Safe.  Plenty of employment options,More local jobs,employment,transport,infrastructure,,,berwick,3806,edrington,29-38,female
More games and cool stuff.,More computers,Fun,Cool,Nice,,,cranbourne ,3977,balla balla,0-18,male
"Hover boards, meals in pills, the Annual purge",Casey region specific train,Clean,Widespread,Multicultural,,,cranbourne ,3977,balla balla,0-18,Male
"A place with no racism, and flying cars!!",The racism and the fights.,activities,,,,,cranbourne ,3977,balla balla,0-18,Male
Better invironment and more skate board shops,All shops have indor skate parks,Fun,Cool,Safe,,,cranbourne ,3977,balla balla,0-18,Male
Inland osen with dofens (inland ocean with dolphins?),Casey should have own airport,Less-people,equality,Super,,,cranbourne ,3977,balla balla,19-28,Unknown
"A good place to raise children, safe and good education.",Security guards,,,,,,noble park,,visitor,0-18,Male
A big place with a lot to do,Make theme parks,Small,Dangerous,Boring,,,cranbourne ,3977,balla balla,0-18,female
Environmentally friendly,"Pay for plastic bags, less plastic bottles.",tolerant,Safe,creative,,,cranbourne ,3977,balla balla,19-28,female
More Trees and lots of fun and games and new stuff,The colour of the place,Fun,Nice,Helpful,,,cranbourne ,3977,balla balla,0-18,male
"energy efficient, clean air and no rubbish/litter",Amount of crime in the area.,Clean,peaceful,Efficient,,,cranbourne north,,Springfield,0-18,male
"Better Environment, more trees, less crime",Nothing,Good,Great,fantastic,,,cranbourne ,3977,balla balla,0-18,female
"A better environment, teenagers / young people not to be in trouble, like causing it.",Violence / trouble/crimes,safe,,,,,narre warren south,3804,springfield,0-18,female
"Inclusive, happy community with employment opporutnities for all and affordable housing",High rental costs,community,employment,Affordable,,,endeavour hills,3802,four oaks,59-68,female
A place where people feel a part of their community.,A need for indoor meeting place for events to be held.,inclusive,diverse,Good-governance,,,endeavour hills,3802,four oaks,68+,female
Flying cards and floating houses,I'm not sure,Creative,Different,Enjoyable,,,doveton ,3177,river gum,0-18,Male
Peaceful,To be safer,Peaceful,Nice,Fun,,,narre warren,3805,springfield,0-18,female
A big and better palce,IDK,Fun,Accessible,,,,endeavour hills,3802,four oaks,0-18,female
"Not sure, safe for my kids",Not sure,Cool,Fun,Nice,,,unknown,,unknown,0-18,female
Well planned out for the populations and policed full on,Try and make it the safest and happy place to come and go in,Nice,Peaceful,Happy,,,dandenong north,,visitor,59-68,Male
Clean environment,World Hunger,Useful,,,,,endeavour hills,3802,four oaks,0-18,female
"Cleaner Environment, Lord willing, that's if I amhere",Crime,Useful,involved,,,,doveton ,3177,river gum,59-68,female
"Welcoming, inclusive and to still have an Aboriginal Gathering Place",Too much red tape and things too hard to get done,Inclusive,Welcoming,Friendly,,,narre warren south,3804,springfield,59-68,female
"Safe, with good employment prospects and education",More Police,,,,,,cranbourne west,3977,mayfield,39-48,female
Most popular and peaceful place in Australia,Traffic,affordable,beautiful,,,,cranbourne north,,Springfield,39-48,female
"Beautiful, full of fun activities for kids and more good projects for kids in school.",Provide more practical education and projects for kids to develop their knowledge.,look-good,practical,,,,cranbourne east,3977,mayfield,29-38,female
 -, -,,,,,,cranbourne ,3977,balla balla,29-38,male
"Good school, good infrastructure, good community",Cranbourne East train station,,,,,,clyde,3978,balla balla,29-38,female
Green and inclusive of farming networks,Thomsons Road and general roadways in and out of Cranbourne,Friendly,Supportive,Responsive,,,cranbourne ,3977,balla balla,39-48,female
Best suburb in the Melbourne,"Prefer not to say, cuz very happy",Peaceful,Beautiful,Convenient,,,cranbourne ,3977,balla balla,29-38,male
"Modern, Crimefree, Clean place to raise children",Better roads / traffic conditions,Friendly,developing,safe,,,cranbourne east,3977,mayfield,19-28,male
"Sustainable, green is the way to the future, that is what I would like to be.",Public transport,Future,Opportunity,Growth,,,cranbourne west,3977,mayfield,29-38,Male
A better place to live in,Better roads and traffic controls,Peacful,Prosperous,affordable,,,cranbourne west,3977,mayfield,29-38,male
Fully developed City,Build more schools,roads,Parks,education,,,cranbourne east,3977,mayfield,29-38,female
Big City,"More park, aged care",shopping,,,,,cranbourne ,3977,balla balla,29-38,female
The place to live,Train station closer,Safe,family-oriented,Green,,,cranbourne east,3977,mayfield,39-48,female
Crime free,Sth Gippy Fwy/Hwy,,,,,,cranbourne east,3977,mayfield,29-38,female
"Family friendly, semi-rural",Traffic on Thompsons Road,Green,family-oriented,Safe,,,botanic ridge,3977,balla balla,29-38,female
A place that has a hospital and all the things that we need,The swimming pool … to a shopping and a hospital,Happy,Careful,Supportful,,,cranbourne ,3977,balla balla,0-18,female
Peaceful neighbourhood,Equal opportunity for everyone,Vision,Efficient,Reliability,,,clyde,3978,balla balla,29-38,male
Safe,Community Safety,Community,Safe,Involved,,,blind bight,3980,balla balla,39-48,female
Safe for future generationsNo school zoning,"More Police, more younger adult activities",,,,,,cranbourne east,3977,mayfield,39-48,female
The place will be deplament (sic) to community,We Loals (sic) the proejct in Casey,safe,,,,,cranbourne ,3977,balla balla,39-48,female
Safe for our children,Lower crime rate,Safe,,,,,cranbourne west,3977,mayfield,19-28,female
"Best education for future generation, well established city",Best facility train,education,facilities,liveable,,,cranbourne east,3977,mayfield,29-38,female
Happy and safety to live,"Stop crimes, robery",Harmony,paths,safe,,,cranbourne east,3977,mayfield,29-38,female
"Safe and environment friendly, lot of green",Like to stop crime and safe for people,Friendly,sustainable,children,,,unknown,,unknown,29-38,male
"A safe, family oriented community","Lower Crime, Rates and Violence",,,,,,cranbourne ,3977,balla balla,29-38,female
A better one for Skidz,Make a skid pad Yew,,,,,,berwick,3806,edrington,19-28,m
Make Centro bigger,Make everthing Skatepark,Cool.,Fresh,Swag,,,cranbourne ,3977,balla balla,0-18,m
vibrant hub for business and community,public transport needs better service parking at train station,vibrant,inclusive,welcoming,,,lynbrook,3975,river gum,39-48,female
vibrant community minded & the youth occupied,more friendly,clean,healthy,inclusive,,,,3175,Visitor,68+,female
"safe clean has great infrastructure, no jam",prevent future flooding in low-lying areas,innovation,safe,green,,,clyde north,,edrington,39-48,female
add one more pool,more people working in the café,beautiful,pretty,lovely,,,unknown,,unknown,0-18,female
"not overly developed in terms of housing, lots of established trees still a mix of old & new",nothing particularly - but just conscious of inceating urban scenary.  Actually faster rail links to city.,green,creative,vibrant,,,berwick,3806,edrington,39-48,female
family friendly access for all people more locations,group classes timetable,accessible,friendly,fun,,,berwick,3806,edrington,19-28,female
more safer and greener casey,"eliminate crime, thefts etc",green,beautiful,paradise,,,narre warren,3805,springfield,39-48,female
"newer, more updated bigger more equipment",new equipment,community,engaged,fun,,,berwick,3806,edrington,19-28,female
gyms everywhere and ????,??????,,,,,,unknown,,unknown,0-18,male
less crime more safe help for carers,council more affordable exercise places for oldies like china,friendly,affordable,,,,endeavour hills,3802,four oaks,68+,female
a rich place with safe environment and good technology,a cleaner place,clean,technology,awesome,,,clyde north,,edrington,0-18,male
friendly accepting modern,traffic flow,progressive,safe,accepting,,,carrum downs,,visitor,49-58,male
precinct that takes into account this growth corridor,increase the aquatic activities by having more swimming lanes. At present not enough lanes,innovative,multicultural,technology,,,hallam,3803,river gum,39-48,female
a one stop shop for fitness health & socialising. Wellness centre & information sharing,more of a hub for wellness centre: i.e. courses on mindfullness. A work out for the brain,information,wellness,healthy,,,narre warren south,3804,springfield,39-48,female
bicycle friendly new areas have bake tracks but old areas need more,more night life it is like Melbourne years ago now,bright,growing,family-oriented,,,narre warren,3805,springfield,49-58,male
gyms everywhere and ????,??? PI on P plates,fast,,,,,china,,visitor,68+,other
fair healthy in environment,all the sea ???,lovely,peaceful,beautiful,,,berwick,3806,edrington,0-18,male
a council that promote kids activities & listen to people in the community,"bigger gym, water slide & keep wave pool.  Make doveton more like Noble Park better",,,,,,hallam,3803,river gum,29-38,male
safe and spacious. I am worried about our crowding with the new suburbs,ensure that the shire is friendly and inclusive,safe,spacious,friendly,,,beaconsfield,3807,edrington,19-28,male
"the same way it is new, eco friendly",no more tall buildings,friendly,sustainable,nice,,,beaconsfield,3807,edrington,19-28,female
"healthy, energetic and vibrant",more activity based programs to combat obesity,open,healthy,positive,,,bayswater,,Visitor,39-48,male
a multicultural metropolitan with great public transport,better public transport,sustainable,vibrant,changing,,,berwick,3806,edrington,29-38,female
a place where there are lots of people and water slides,it would be have hot water in the deep end,fun,clean,good,,,melbourne,,visitor,0-18,male
"friendly, inteprated into the community wide range of ???? Offered ???? For low???? Some everyone",better council??? Of funds transparency in decisions & true community consultation,transparent,accountable,vision,,,beaconsfield,3807,edrington,39-48,female
a place where families can be safe. A plce for children to flourish ,commitment to children & families.  To work with the community.  To be more open,vibrant,innovative,inspring,,,cranbourne ,3977,balla balla,39-48,female
even more family friendly,free swimming lessions for children to help save lives,inviting,family-oriented,entertaining,,,hampton park,3976,river gum,19-28,female
"a beautiful place with lots of natural, something that reflects Australia",I would make a huge water slide to attract more people,modern,nature,fun,,,narre warren south,3804,springfield,0-18,male
not at the top fo the list for animal cruelty  absolutely disgusting,"make it a safer place to live, work & play for both humans & animals",safe,,,,,narre warren,3805,springfield,29-38,female
a place that caters for all ages for health & wellbeing,rail crossing in berwick & roads in & out,safe,thriving,green,,,berwick,3806,edrington,59-68,female
berwick,stopped having shewing gum and dropped,,,,,,berwick,3806,edrington,29-38,male
,better infrastructure / roads,family-orientated,,,,,hampton park,3976,river gum,19-28,male
lno local council or a smaller one,a fair & honest council - more transparency & no stacking elections with fake applicants!,safe,thriving,roads,,,narre warren,3805,springfield,59-68,female
thriving with the correct infrastructure and crime free,sack most council members,homely,friendly,safe,,,narre warren,3805,springfield,59-68,male
community driven with plenty of youth activity,more public transport to city,,,,,,unknown,,unknown,,
safe. Lead by example for other councils,provide free self defence courses for girls,evolving,multicultural,dynamic,,,lyndhurst,3975,mayfield,29-38,female
place of opportunity but also safe to live in for the future generation,stop road works during peak hours. Expand carpark at Narre Warren station. Run some fitness programs during after hours,safe,developed,opportunity,,,narre warren south,3804,springfield,39-48,female
greener - more native flora & more trees,Bus service in narre warren needs improving - more frequent buses. Less need to use our car(s),green,clean,friendly,,,narre warren,3805,springfield,39-48,female
bigger pool and slide,showers & toilets,busy,,,,,narre warren,3805,springfield,29-38,female
moe aquatic centres and more libraries,make everything kid friendly,interactive,fun,community,,,lynbrook,3975,river gum,0-18,female
slides,shower room,clean,welcoming,family-oriented,,,seabrook,,visitor,29-38,female
awesome and unique with a big water slide,to have a very clean water even thought someone sneezes,family-oriented,entertaining,awesome,,,st vincent,,visitor,0-18,female
family friendly naturistic yet economically developed city. Also has a lot of culture,more parks and trees. More offices,employment,culture,events,,,narre warren,3805,springfield,29-38,female
I would like to be life Casey Race,I would put water slide in it,bad,,,,,unknown,,unknown,0-18,male
more cleaner greener crime free graffitti free place,more police officers to prevent theft n crime,respect,safe,less-congestion,,,narre warren,3805,springfield,39-48,female
a big pool with lots of waterslides,there would be a waterslide,awesome,cool,fantastic,,,hampton park,3976,river gum,0-18,female
more integrated sports within schools,its size too large,family-oriented,sport,environment,,,berwick,3806,edrington,39-48,male
a place that allows people to be active and healthy no matter what their soeconic status is,I would change the number of recreation centres.  I would add MORE to suit the growing population,welcoming,bright,active,,,narre warren south,3804,springfield,19-28,female
,more lanes for swimming so less kids in one group,clean,,,,,hampton park,3976,river gum,29-38,female
the same now,add a pool outside,fun,,,,,hampton park,3976,river gum,0-18,male
a newly furbished swimming pooly,more free pools and spas ,,,,,,unknown,,unknown,,
heathly community revolving around families& that families wellbring & health a priority,the increasing crime,family-oriented,creative,safe,,,berwick,3806,edrington,49-58,female
a safe & multicultural place for our children,more women in leadership,safe,multicultural,employment,,,hampton park,3976,river gum,29-38,female
diverse and narmanious community,environmental sustainability actions undertaken,sustainable,safe,partnership,,,lynbrook,3975,river gum,19-28,female
peaceful & accepting of different cultures. Future with advance technology,more support for people living with a mental illness & more help for the low socio economic group,tranquil,happy,accepting,,,lynbrook,3975,river gum,19-28,male
well more funner,the casey community centre to make it more fun,great,fun,employment,,,cranbourne west,3977,mayfield,0-18,female
"I would like to be more fun, playful and also learny",I would change it too have more centres around everywhere,fun,education,family-oriented,,,cranbourne west,3977,mayfield,0-18,female
sustainable inclusive,reduce isolation,community,inclusive,connected,,,narre warren,3805,springfield,39-48,male
lots of recreational activities for families,more job opportunities & better transport facilities to avoid heavy traffic,modern,large,technology,,,rowville,,visitor,49-58,female
acceptance of diversity & utilisation of multicultural skills,more involvement of residents,inclusion,diversity,acceptance,,,springvale,,visitor,49-58,female
sport centre with all facilities * latest IT innovations,empower women,respect,equality,,,,narre warren south,3804,springfield,39-48,female
"inclusive, diverse, economially stable",more afforadable housing options,accessible,equal,inclusive,,,cranbourne ,3977,balla balla,49-58,female
community focused efficient affordable public transport. Safer & better qualify public housing,a safer & friendlier community,safe,welcoming,inclusive,,,cranbourne east,3977,mayfield,59-68,
continue to be a family friendly environment,public housing for all,public-transport,,,,,cranbourne east,3977,mayfield,68+,female
cheaper accommodation ,that you would feel safer going out at night,cheap,safe,friendly,,,langwarrin,,visitor,68+,female
safe & secure place for all its residents,more affordable housing more public housing,safe,secure,welcoming,,,cranbourne ,3977,balla balla,68+,female
"job, houseI'm really need help  to find job because I don't one get any benefit from everyone everywhere. I want to help my self if I got job that be help me a lot. because I can help my self and I can help someone too.",I have not idea because they good for help me,,,,,,hampton park,3976,river gum,29-38,female
A safe placae An attractive place,"more litter/rubbish clean ups especially in parks, open spaces & reserves",safe,attractive,flourishing,,,cranbourne ,3977,balla balla,59-68,female
a safe suburb with plenty of activities for young people and good transport,get rid of the tip on Hallam Road,safe,friendly,clean,,,cranbourne north,,Springfield,68+,male
better transport & affordable housing,A/A get rid of Sita tip,clean,roads,,,,cranbourne north,,Springfield,68+,female
safe clean green affordable,more affordable housing ,roads,,,,,cranbourne ,3977,balla balla,19-28,female
safe traffic free in main st Cranbourne,remove traffic in high st,safe,clean,inviting,,,botanic ridge,3977,balla balla,59-68,male
clean and crime free,more community help,friendly,clean,helpful,,,narre warren,3805,springfield,59-68,male
infrastructure focused,greater police presents in casey,vibrant,exciting,focused,,,unknown,,unknown,68+,male
"a place where people live in peace (no crime), extra jobs youth keep busy",more public transport. No more shops. Unemployment level dropped down,diversity,employment,activities,,,cranbourne ,3977,balla balla,59-68,female
pleasant & interesting,better roads by pass through Cranbourne,safe,transport,public-housing,,,cranbourne ,3977,balla balla,68+,female
"safe, cleane, educated, provding job for young people",provide home to familiies with low/no income & errabicate drugs from streets,education,safe,healthy,,,cranbourne ,3977,balla balla,59-68,
a place free of crime & disorder,traffic flow on main roads less trucks,safe,friendly,vibrant,,,cranbourne ,3977,balla balla,68+,male
a place where everyone cares about each other,traffic on Berwick-C'bne rd,vibrant,empathatic,connected,,,cranbourne east,3977,mayfield,59-68,female
safe & friendly place,to give the young ones a house to keep them safe,safe,,,,,cranbourne south ,3977,balla balla,68+,male
less rubbish & neglect,people having more respect for private & public property places,hopeful,,,,,cranbourne ,3977,balla balla,59-68,
a safe place to live,,helpful,safe,,,,narre warren,3805,springfield,49-58,female
back to semi rural with more nature reserves instead of an overcrowded surbanan place,less people,nature,people,life,,,narre warren,3805,springfield,49-58,male
the best area in victoria SE 3806,needs a motorcross track in the SE,neat,friendly,awsome,,,berwick,3806,edrington,19-28,male
family friendly,roads in surburan streets,connected,clean,parks,,,narre warren south,3804,springfield,49-58,female
"safe, clean and active",voting procedure to the council,responding,responsive,alive,,,lysterfield south,3156,four oaks,49-58,female
gridlock,be smart - not money hungry. More roads idiots,gridlock,,,,,berwick,3806,edrington,29-38,male
a place where a single working mother can afford to save money,more afforadable rent,growth,affordability,clean,,,hallam,3803,river gum,49-58,female
healthy - safe - muslim free,no muslims - no mosques,safe,muslim-free,,,,berwick,3806,edrington,29-38,male
"family, friendly and no drugs",no drugs,family-oriented,happy,safe,,,narre warren,3805,springfield,39-48,female
trustfull & modern no terrorism,to live in peace,happy,healthy,,,,hampton park,3976,river gum,39-48,
australian owned. stop foreigh investment stope council junkets in council,return library to orginal format with sufficient parking,,,,,,endeavour hills,3802,four oaks,59-68,female
better multicultural understanding better community centre,roads/infrastructure/trains,inclusive,modern,equality,,,narre warren north,3804,four oaks,49-58,male
crime free no poverty,public transport ,fun,friendly,fantastic,,,narre warren north,3804,four oaks,0-18,male
place of social interaction,remove ??????,great,,,,,endeavour hills,3802,four oaks,68+,male
a safe place for families to live,get rid of the illegal drugs & the dealers,safe,clean,attractive,,,endeavour hills,3802,four oaks,59-68,female
green - more parks better public transport developers are too greedy,smaller houses on bigger blocks for backyard gardens,friendly,inclusive,sustainable,,,berwick,3806,edrington,59-68,female
a leader in environmental sustainability with a connected and empowered community,"less reliance on cars, better public transport",carbon-neutral,sustainable,friendly,,,endeavour hills,3802,four oaks,39-48,female
to have good retirement houses,good planning,green,,,,,endeavour hills,3802,four oaks,49-58,female
more women on council - stop waisting OUR  money - spend less on fountain gate,get councillors to LISTEN to RATE PAYERS!!,Parking,,,,,unknown,,unknown,59-68,female
I be dead,,,,,,,chadstone,,visitor,68+,female
a swimming place,change nothing,big,huge,great,,,hallam,3803,river gum,29-38,perfer not to say
a family fun place,more places for families,child-friendly,,,,,narre warren,3805,springfield,0-18,female
"safe, still retain some country feel",more police  ,parks,safe,entertainment,,,berwick,3806,edrington,29-38,female
"I like Casey to be in 2041 to be more progressive area in Victoria.  Also, it is a safe & well developed place",there should be more entertainment for the family,safe,developed,family-oriented,,,unknown,,unknown,39-48,female
a uni place,,,,,,,narre warren,3805,springfield,49-58,perfer not to say
"relaxed, minimal traffic, not over crowded",walking track from Warneet to Tooradin,less-populated,clean,child-friendly,,,warneet,3980,balla balla ,29-38,
"family area with abundance of schools, jobs etc….",upgrading of infrastructure to support new housing estates and increased population,infrastructure,education,jobs,,,tooradin,3980,balla balla ,29-38,male
put rates to good use and put the infrastructure in place before the population,reduce fees i.e kinder,family-oriented,infrastructure,open-spaces,,,tooradin,3980,balla balla ,39-48,female
not over crowded,rates prices no more estate developing,clean,safe,cheap,,,warneet,3980,balla balla ,29-38,male
cosmopolitan & friendly,more infrastructure,friendly,peaceful,vibrant,,,warneet,3980,balla balla ,59-68,male
safe place more roads. council - disgraceful less corruption with council,change attitude of the council towards the people,safe,roads,,,,cannons creek,3977,balla balla,68+,female
a very safe area,to keep more vacant farming areas,less-growth,,,,,cannons creek,3977,balla balla,68+,female
family friendly,natural gas,diverse,progressive,dynamic,,,blind bight,3980,balla balla,29-38,female
"quiet, safe",sewage footpath mains gas,safe,Quiet,,,,devon meadows ,3977,balla balla,29-38,female
